reviewId,userName,userImage,content,score,thumbsUpCount,reviewCreatedVersion,at,replyContent,repliedAt,appVersion,app,gemini_llm_topic,correct,human_labeled_topic,cause
9cab4f6e-8203-4a69-8774-0304f0eab6a7,Radek Raczkowski,https://play-lh.googleusercontent.com/a-/ALV-UjXwx2274AAoOaYhvvXUGojriuoWl7iY5ZtiDu69sDDoA3ii9L5SEg,This app weights 460 MB! Old review: Stop forcing me to update,1,0,3.204.10,2025-03-08 12:42:40,"Hello, Radek. We strive to improve our platform and services, so we release app updates regularly to help with this. In case you have any concerns or need assistance, please reach us via live chat. Thank you!",2025-03-08 13:35:03,3.204.10,co.mona.android,Usability/UI/UX,1,,
cedc9258-9d32-438c-98b4-8d63bad10031,Derek DeLucia,https://play-lh.googleusercontent.com/a/ACg8ocJyIVpCbudvmAp40jf5AzcrIcUEOmknPplG0JavaCBR3YYeaeo=mo,Super glitchy app which is awfully sus for having access to my banking information and crypto / Fiat wallet *Edit* they can't even spell my name right 😅,2,0,3.201.20,2024-12-21 11:36:07,"Hello Dereck. We will be happy to look into the performance difficulties you are facing on the app as well as address any other inquiries you may have, and offer assistance. To do so, please reach out to us via live chat. Thank you!",2024-12-10 16:24:15,3.201.20,co.mona.android,Usability/UI/UX,1,,
0e3182b5-d349-4685-937d-8124aad6121b,Valerio S,https://play-lh.googleusercontent.com/a/ACg8ocLGTZ2Dnt283EFsyPVibPKzNAjdosBr0Cffp2yF91jHqR41nw=mo,"I put 2 star to get attention I strong suggest to improve the zoom on chart, specially on the price scale trade and chart window could be on the same page just scrolling down moving The order book on a dedicated window. I prefer to see my current position and current order for that coin at a glance instead. After all the user experience better on mobile than the the website on pc.",2,27,4.57.0,2025-01-15 20:07:55,"Thank you for bringing this to our attention. Your feedback helps us identify areas for improvement, and we're dedicated to ensuring a better experience in the future. Share your feedback to us https://www.bybit.com/en/user-feedback ST",2025-01-15 20:16:17,4.57.0,com.bybit.app,Usability/UI/UX,1,,
e3ef3696-ae32-4421-8480-2b31473ebfbb,You Tunnel,https://play-lh.googleusercontent.com/a-/ALV-UjV3nwuSiVcQe6fwc2mlQ9SV3XeNL-yB62FRcPpydGe5EPmCOt0K,"You can't call this a crypto exchange if the Exchange (binance) fails to complete KYB. This is why Pi Network is not listed. I have used binance for years, and I'm now waiting to get verified on OKx crypto exchange that has real protection because they follow protocols and procedures to create a safe environment for trading real projects and not just open source crypto scam operations that dont even have a CEO. At least I won't get scammed there.",2,2,2.96.2,2025-03-07 22:02:30,,,2.96.2,com.binance.dev,Verification/KYC/AML Processes,1,Features/Functionality,
a05d622f-2da0-48d2-b14e-4a6ef5743d18,Ali Raza,https://play-lh.googleusercontent.com/a/ACg8ocKSZwQz25uleE7xt0bGbbezZ48n-QomwL0yF6NIEOo5UNCF1g=mo,it good but difficult to use,2,0,,2024-10-25 11:39:24,We appreciate the feedback! Please let us know how we can earn your 5 star rating! Share your feedback here https://www.bybit.com/en/user-feedback - JN,2024-10-25 12:46:13,,com.bybit.app,Usability/UI/UX,1,,
ecea8365-239b-466f-8d3a-97235f2c26a3,Mos Trendi,https://play-lh.googleusercontent.com/a/ACg8ocK0S3AJ1lodYboXEqa6wcg0HLDwojg0MYH_cM4gnHeLMWJYxw=mo,"hello, if you are reading this...I think u should avoid trading on bybit because...u will be doom to loss your capital gradually. Am talking from experience... including fees and they don't allow you to transfer the total of your initial capital from each trades between each crypto u trade on... leaving behind some little money and causing you to struggle to make profits while you trade. Avoid this app...if you know what is good for you.",2,1,,2025-01-26 8:23:40,"We appreciate your input. To better understand your concerns, could you please provide more details? Our support team is ready to help resolve any issues. https://www.bybit.com/en/help-center/s/webform -AS",2025-01-26 21:51:07,,com.bybit.app,Transaction Fees/Speed,1,,
b0ffcb5d-fd04-4e92-a16b-d9d182682abc,Igor Andreevski,https://play-lh.googleusercontent.com/a-/ALV-UjVtnSstDY1JMgNB-eI4Gc0x03Ox1I1Jin4i40aUEfqleTGdBnpc,not listing of pi network and stealing my deposits,1,0,2.96.2,2025-03-10 17:07:08,,,2.96.2,com.binance.dev,Wallet Security/Integration,0,Usability/UI/UX,"Probably the word ""stealing"" had a lot of weight."
e1b38d20-cb79-472f-8326-71e58e6ea123,peter mbuthia (Mbuthis Tech),https://play-lh.googleusercontent.com/a/ACg8ocJbBgE8RHgy-w6EiC0GK-wObtcv9Frs6Mn3sb42voZbFWQ23Q=mo,Hanging my phone and not compatible with low android,2,0,,2025-02-25 15:36:30,"Hi Peter! Thanks for your review. Our app supports Android version 5.0+, informed in your play store. You may also user our platform by accessing our website at - binance.com. Should you require further help, feel free to contact us at - binance.com/en/chat. RA",2025-02-25 16:46:02,,com.binance.dev,Usability/UI/UX,1,,
6f92700c-8bdd-4f2d-94f9-96a5522f0aba,Nick Anonymous,https://play-lh.googleusercontent.com/a/ACg8ocILD6-Hi1PHGPKxSN_ve4vAwHsUFBcwe2haKnnCTu5Ib-fNQJw=mo,Super fun action for the gambling addict in all of us but not intuitive or very user friendly. Constant updates require more and more data. It takes some getting used to and I understand few of the many abbreviations. Customer service is non existent and I'm pretty sure non human. It gets sketchy when you realize the place that has your money has no address or customer service phone number! The only phone support is for THEIR visa card holders.,2,24,3.203.0,2025-02-04 19:25:28,,,3.203.0,co.mona.android,Usability/UI/UX,1,,
b0ecd699-41ad-4cdb-a8f0-e5ae01475ac7,Chinaza Adindu,https://play-lh.googleusercontent.com/a/ACg8ocLyhlbfKIdEOPjNID_feOKyXIb-y1HwD4bfVDUbwBq2irG4vw=mo,"the bybt app is cool, but you guys need 2 upgrade on something, why wud a seller hold a buyer's transaction witout sending money, the buyer wud marked the transaction as sucesful without sendn the money, bcus of misunderstanding, that's not professional, cus u guys would @ the end tell the person 2 sort it out with the seller, knowing fully wel is not ethics, you guys shud upgrade knowing wen someone's isn't intentionally sending the money and punish him/her. what if the buyer is on emergency.",2,0,,2025-02-03 17:29:07,"We value your feedback and would like to learn more about your experience, share it to us here https://www.bybit.com/en/user-feedback. We are available 247, reach out to us at your convenience so we can better understand your concerns. -AS",2025-02-04 15:38:18,,com.bybit.app,Customer Support,1,,
